"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1402","testEndToEndPurchaseFlow","Surefire suite","2026-06-06","passed","2026-06-06","com.saucedemo.ecommerce.testcases.InventoryTest","Surefire test","com.saucedemo.ecommerce.testcases.InventoryTest","testEndToEndPurchaseFlow"
"","12","testFrameworkSetup","Surefire suite","2026-06-06","passed","2026-06-06","com.saucedemo.ecommerce.testcases.InitialTest","Surefire test","com.saucedemo.ecommerce.testcases.InitialTest","testFrameworkSetup"
"","2","tearDown","SauceDemo Automation Suite","2026-06-06","broken","2026-06-06","com.saucedemo.ecommerce.testcases.InventoryTest","Core Functional Tests","com.saucedemo.ecommerce.testcases.InventoryTest","tearDown"
"","342","testLockedOutUserLogin","Surefire suite","2026-06-06","passed","2026-06-06","com.saucedemo.ecommerce.testcases.LoginTest","Surefire test","com.saucedemo.ecommerce.testcases.LoginTest","testLockedOutUserLogin"
"","2","tearDown","SauceDemo Automation Suite","2026-06-06","broken","2026-06-06","com.saucedemo.ecommerce.testcases.LoginTest","Core Functional Tests","com.saucedemo.ecommerce.testcases.LoginTest","tearDown"
"","339","testInvalidPasswordLogin","Surefire suite","2026-06-06","passed","2026-06-06","com.saucedemo.ecommerce.testcases.LoginTest","Surefire test","com.saucedemo.ecommerce.testcases.LoginTest","testInvalidPasswordLogin"
"","1638","testProductSortingPriceLowToHigh","Surefire suite","2026-06-06","passed","2026-06-06","com.saucedemo.ecommerce.testcases.InventoryTest","Surefire test","com.saucedemo.ecommerce.testcases.InventoryTest","testProductSortingPriceLowToHigh"
"","332","testSuccessfulLogin","Surefire suite","2026-06-06","passed","2026-06-06","com.saucedemo.ecommerce.testcases.LoginTest","Surefire test","com.saucedemo.ecommerce.testcases.LoginTest","testSuccessfulLogin"
