"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1366","testEndToEndPurchaseFlow","Surefire suite","2026-06-07","passed","2026-06-07","com.saucedemo.ecommerce.testcases.InventoryTest","Surefire test","com.saucedemo.ecommerce.testcases.InventoryTest","testEndToEndPurchaseFlow"
"","316","testSuccessfulLogin","Surefire suite","2026-06-07","passed","2026-06-07","com.saucedemo.ecommerce.testcases.LoginTest","Surefire test","com.saucedemo.ecommerce.testcases.LoginTest","testSuccessfulLogin"
"","317","testLockedOutUserLogin","Surefire suite","2026-06-07","passed","2026-06-07","com.saucedemo.ecommerce.testcases.LoginTest","Surefire test","com.saucedemo.ecommerce.testcases.LoginTest","testLockedOutUserLogin"
"","2","tearDown","SauceDemo Automation Suite","2026-06-06","broken","2026-06-06","com.saucedemo.ecommerce.testcases.InventoryTest","Core Functional Tests","com.saucedemo.ecommerce.testcases.InventoryTest","tearDown"
"","1630","testProductSortingPriceLowToHigh","Surefire suite","2026-06-07","passed","2026-06-07","com.saucedemo.ecommerce.testcases.InventoryTest","Surefire test","com.saucedemo.ecommerce.testcases.InventoryTest","testProductSortingPriceLowToHigh"
"","305","testInvalidPasswordLogin","Surefire suite","2026-06-07","passed","2026-06-07","com.saucedemo.ecommerce.testcases.LoginTest","Surefire test","com.saucedemo.ecommerce.testcases.LoginTest","testInvalidPasswordLogin"
"","2","tearDown","SauceDemo Automation Suite","2026-06-06","broken","2026-06-06","com.saucedemo.ecommerce.testcases.LoginTest","Core Functional Tests","com.saucedemo.ecommerce.testcases.LoginTest","tearDown"
"","7","testFrameworkSetup","Surefire suite","2026-06-07","passed","2026-06-07","com.saucedemo.ecommerce.testcases.InitialTest","Surefire test","com.saucedemo.ecommerce.testcases.InitialTest","testFrameworkSetup"
